Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/17/23,Tuesday,13,Starbucks,Food,Credit
1/18/23,Wednesday,9.54,Chik Fil A,Food,Credit
1/20/23,Friday,16,Wingstop,Food,Credit
1/21/23,Saturday,24.47,Walgreens,Entertainment and Recreation,Credit
1/22/23,Sunday,33.96,Black Bear Diner,Food,Credit
1/23/23,Monday,19.75,Chik Fil A,Food,Credit
1/24/23,Tuesday,0,,,
1/25/23,Wednesday,0,,,
1/26/23,Thursday,0,,,
1/27/23,Friday,599.42,Direct Deposit,Bills,Credit
1/28/23,Saturday,22.5,Pho,Food,Credit
1/29/23,Sunday,13.25,Canes,Food,Credit
1/30/23,Monday,39.9,Stellaris,Entertainment and Recreation,Credit
1/31/23,Tuesday,11.24,McDonalds,Food,Credit
2/1/23,Wednesday,0,,,
2/2/23,Thursday,0,,,
2/3/23,Friday,0,,,
2/4/23,Saturday,26.25,UNIQLO Jacket,Entertainment and Recreation,Credit
2/5/23,Sunday,16.6,Trader Joes,Food,Credit